epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11287.8,2.17782,1.27886,1.88535,0.63774,0.4746,0.49653,0.36302,2.08609,1.16223,1.85721,0.000655625,0.000655625,0.000655625
43,11554.7,2.15817,1.26673,1.86688,0.45527,0.48195,0.4946,0.35605,2.05493,1.18051,1.83056,0.000636762,0.000636762,0.000636762
44,11821.4,2.17682,1.27086,1.88176,0.78881,0.43378,0.48682,0.33923,2.06472,1.21912,1.83382,0.0006179,0.0006179,0.0006179
45,12090.1,2.15439,1.24566,1.86846,0.83328,0.52653,0.58329,0.4378,2.03426,1.12063,1.84483,0.000599037,0.000599037,0.000599037
46,12357.8,2.11571,1.22788,1.8628,0.63318,0.44306,0.50076,0.38603,2.04629,1.14648,1.84028,0.000580174,0.000580174,0.000580174
47,12627.3,2.12411,1.22275,1.8589,0.69482,0.48816,0.52972,0.40228,2.03273,1.20338,1.84192,0.000561311,0.000561311,0.000561311
48,12895.4,2.0901,1.21144,1.85904,0.90236,0.46827,0.55089,0.40301,2.01508,1.13399,1.83661,0.000542448,0.000542448,0.000542448
49,13165.5,2.09105,1.20673,1.85075,0.81964,0.42681,0.54336,0.39869,2.04831,1.12475,1.83647,0.000523586,0.000523586,0.000523586
50,13433.3,2.08674,1.1961,1.84148,0.62503,0.55444,0.61129,0.4409,1.97297,1.10135,1.82161,0.000504723,0.000504723,0.000504723
51,13700.9,2.0743,1.19809,1.84802,0.9531,0.49849,0.61457,0.47113,1.94423,1.08782,1.81135,0.00048586,0.00048586,0.00048586
52,13969,2.05739,1.18334,1.84102,0.75622,0.47808,0.61368,0.45176,1.94042,1.06552,1.80689,0.000466997,0.000466997,0.000466997
53,14236.6,2.03694,1.17467,1.83213,0.56401,0.57863,0.57003,0.41638,1.93796,1.07991,1.81194,0.000448134,0.000448134,0.000448134
54,14504.9,2.04325,1.16974,1.83458,0.65551,0.58817,0.62282,0.46467,1.91185,1.05579,1.80828,0.000429272,0.000429272,0.000429272
55,14773.1,2.02066,1.15525,1.82984,0.71834,0.50088,0.58133,0.43974,1.89214,1.0658,1.80364,0.000410409,0.000410409,0.000410409
56,15040.5,2.0116,1.15408,1.83605,0.63434,0.56669,0.58259,0.43602,1.89854,1.06534,1.80525,0.000391546,0.000391546,0.000391546
57,15308.8,1.99214,1.1402,1.83217,0.59523,0.5687,0.60901,0.46767,1.90057,1.04141,1.81044,0.000372683,0.000372683,0.000372683
58,15574.3,1.98823,1.12717,1.83411,0.62339,0.56539,0.61827,0.45478,1.90686,1.04609,1.80614,0.00035382,0.00035382,0.00035382
59,15842.1,1.95986,1.12253,1.81859,0.83642,0.55655,0.67656,0.51048,1.86487,1.01867,1.80163,0.000334958,0.000334958,0.000334958
60,16108.9,1.9325,1.10348,1.81075,0.68087,0.56882,0.63855,0.48499,1.85733,1.01229,1.80024,0.000316095,0.000316095,0.000316095
61,16375.2,1.97204,1.12813,1.82322,0.92554,0.48279,0.63859,0.48428,1.83091,1.01159,1.78359,0.000297232,0.000297232,0.000297232
62,16642.9,1.919,1.08818,1.80679,0.73339,0.55959,0.63313,0.4821,1.81535,0.98937,1.78771,0.000278369,0.000278369,0.000278369
63,16909.1,1.91237,1.08173,1.80519,0.5726,0.64406,0.60603,0.45409,1.82795,0.98887,1.78728,0.000259506,0.000259506,0.000259506
64,17175.1,1.91041,1.0914,1.80539,0.80168,0.48996,0.61517,0.47363,1.80877,0.97973,1.78149,0.000240644,0.000240644,0.000240644
65,17443.1,1.91556,1.08998,1.80138,0.78893,0.57751,0.62297,0.47345,1.80682,0.9886,1.78253,0.000221781,0.000221781,0.000221781
66,17701.8,1.73638,0.9682,1.77242,0.79643,0.55745,0.65219,0.50599,1.81317,0.95864,1.78743,0.000202918,0.000202918,0.000202918
67,17960.4,1.71398,0.93754,1.75537,0.91406,0.52074,0.66393,0.5121,1.78292,0.94634,1.77817,0.000184055,0.000184055,0.000184055
68,18219,1.68412,0.92918,1.74974,0.64321,0.62735,0.66963,0.52018,1.76695,0.93976,1.77643,0.000165192,0.000165192,0.000165192
69,18476.8,1.65501,0.91904,1.75762,0.64498,0.66511,0.6842,0.52522,1.75008,0.97,1.7704,0.00014633,0.00014633,0.00014633
70,18736.1,1.66659,0.9142,1.75228,0.71483,0.58817,0.67757,0.52132,1.73129,0.92962,1.76946,0.000127467,0.000127467,0.000127467
71,18994.6,1.63971,0.90983,1.75678,0.81202,0.57747,0.70607,0.54522,1.73164,0.91629,1.76575,0.000108604,0.000108604,0.000108604
72,19252.7,1.65377,0.90825,1.74706,0.77957,0.57872,0.68511,0.54059,1.71741,0.91022,1.76757,8.97412e-05,8.97412e-05,8.97412e-05
73,19511.9,1.61531,0.89503,1.74787,0.66767,0.63619,0.681,0.52497,1.71421,0.92026,1.76127,7.08784e-05,7.08784e-05,7.08784e-05
74,19770.4,1.60206,0.89055,1.73827,0.71266,0.60584,0.68206,0.51952,1.71142,0.91425,1.76358,5.20156e-05,5.20156e-05,5.20156e-05
75,20028.7,1.5882,0.87664,1.73311,0.63298,0.64134,0.68351,0.52215,1.69572,0.90548,1.75906,3.31528e-05,3.31528e-05,3.31528e-05
