epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,357.004,1.93786,2.48937,1.31607,0.82775,0.17358,0.16468,0.09293,1.71653,2.1551,1.14513,0.000472191,0.000472191,0.000472191
2,659.895,1.51325,1.2042,1.11573,0.92577,0.21982,0.25547,0.15189,1.39504,1.34198,1.07301,0.000936004,0.000936004,0.000936004
3,961.451,1.46604,1.09725,1.09737,0.90779,0.22225,0.24242,0.1492,1.44171,1.67201,1.08862,0.00138724,0.00138724,0.00138724
4,1256.37,1.4183,1.03086,1.09435,0.92716,0.24359,0.27373,0.17048,1.35373,1.09863,1.06874,0.00137241,0.00137241,0.00137241
5,1550.69,1.3801,0.99573,1.06873,0.90313,0.23841,0.25659,0.16638,1.32176,1.4811,1.0467,0.00135355,0.00135355,0.00135355
6,1845.94,1.34266,0.93676,1.05466,0.93992,0.24777,0.27835,0.18068,1.24812,0.98435,1.01659,0.00133469,0.00133469,0.00133469
7,2139.95,1.32153,0.90077,1.05232,0.93673,0.25699,0.28503,0.1894,1.25998,1.05751,1.01352,0.00131582,0.00131582,0.00131582
8,2432.08,1.30647,0.88626,1.05139,0.9361,0.25998,0.27952,0.18559,1.24276,0.95861,1.01769,0.00129696,0.00129696,0.00129696
9,2725.48,1.26459,0.85105,1.03119,0.92097,0.25799,0.26674,0.17364,1.26196,1.11907,1.01944,0.0012781,0.0012781,0.0012781
10,3018.69,1.25857,0.84741,1.02502,0.92867,0.26561,0.28704,0.18571,1.3102,0.97371,1.01326,0.00125923,0.00125923,0.00125923
11,3312.19,1.24275,0.81496,1.01566,0.94861,0.27345,0.29373,0.19949,1.18882,0.84658,0.98736,0.00124037,0.00124037,0.00124037
12,3607.37,1.24669,0.80104,1.01329,0.95007,0.26448,0.29317,0.19585,1.23233,0.85451,1.00715,0.00122151,0.00122151,0.00122151
13,4410.68,1.20271,0.78781,0.99517,0.9605,0.27154,0.30528,0.21614,1.1099,0.80123,0.95849,0.00120265,0.00120265,0.00120265
14,4633.17,1.18284,0.76655,0.99324,0.95044,0.26332,0.29516,0.20219,1.22734,0.83176,0.99198,0.00118378,0.00118378,0.00118378
15,4855.44,1.19382,0.77764,0.99876,0.93399,0.26894,0.28982,0.19668,1.17878,1.0163,0.99317,0.00116492,0.00116492,0.00116492
16,5086.69,1.18115,0.76614,0.98896,0.95541,0.2809,0.30603,0.21399,1.1398,0.77909,0.97507,0.00114606,0.00114606,0.00114606
17,5307.04,1.17485,0.75337,0.99721,0.947,0.27049,0.29486,0.20237,1.15663,0.9139,0.98372,0.0011272,0.0011272,0.0011272
18,5532.04,1.146,0.73122,0.98737,0.95542,0.28075,0.30788,0.21324,1.13007,0.74833,0.9821,0.00110833,0.00110833,0.00110833
19,5757.95,1.13136,0.71896,0.9763,0.94566,0.27368,0.30057,0.21093,1.1157,0.79132,0.96719,0.00108947,0.00108947,0.00108947
20,5990.01,1.10641,0.69478,0.9715,0.96305,0.28651,0.31543,0.22395,1.08634,0.72716,0.95744,0.00107061,0.00107061,0.00107061
21,6231.88,1.11484,0.69886,0.97079,0.96482,0.28148,0.32273,0.22939,1.08397,0.71592,0.95319,0.00105174,0.00105174,0.00105174
22,6464.24,1.09891,0.68763,0.96555,0.9575,0.27903,0.32659,0.23071,1.08992,0.72697,0.95621,0.00103288,0.00103288,0.00103288
23,6703.1,1.10012,0.69073,0.96014,0.96438,0.27859,0.31514,0.22374,1.08119,0.72768,0.95075,0.00101402,0.00101402,0.00101402
24,6932.29,1.0934,0.68217,0.96347,0.96308,0.28392,0.31417,0.22702,1.05689,0.68345,0.94738,0.000995156,0.000995156,0.000995156
25,7153.75,1.09562,0.6771,0.96511,0.96696,0.28551,0.33622,0.24184,1.065,0.66558,0.94598,0.000976293,0.000976293,0.000976293
26,7379.79,1.07898,0.67286,0.96114,0.74406,0.3267,0.33737,0.24311,1.05408,0.66585,0.94214,0.00095743,0.00095743,0.00095743
27,7606.42,1.06403,0.6562,0.95563,0.96788,0.28594,0.32149,0.2345,1.02564,0.66907,0.93323,0.000938567,0.000938567,0.000938567
28,7835.49,1.04549,0.64427,0.95125,0.64767,0.33809,0.35373,0.25077,1.04118,0.72451,0.94201,0.000919704,0.000919704,0.000919704
29,8056.94,1.06388,0.65323,0.95294,0.64037,0.33117,0.34432,0.25286,1.03142,0.66253,0.93815,0.000900842,0.000900842,0.000900842
30,8280.88,1.02781,0.63969,0.94633,0.96883,0.28767,0.34907,0.25332,1.02508,0.66967,0.93056,0.000881979,0.000881979,0.000881979
31,8523.63,1.04629,0.64607,0.95105,0.95843,0.29019,0.33355,0.23532,1.12681,0.68018,0.94457,0.000863116,0.000863116,0.000863116
32,8776.08,1.05161,0.63899,0.94855,0.77425,0.32858,0.38402,0.27152,1.01589,0.66233,0.92692,0.000844253,0.000844253,0.000844253
33,9001.89,1.03298,0.62907,0.9499,0.96946,0.29133,0.37259,0.26962,1.02799,0.67097,0.93368,0.00082539,0.00082539,0.00082539
34,9224.85,1.02385,0.62489,0.94227,0.9308,0.35897,0.40894,0.28956,0.9963,0.63119,0.9272,0.000806528,0.000806528,0.000806528
35,9452.7,1.02858,0.62409,0.94155,0.79121,0.36344,0.39535,0.28692,1.02384,0.63951,0.93792,0.000787665,0.000787665,0.000787665
36,9685.52,1.02884,0.62817,0.94535,0.75466,0.32933,0.38132,0.27005,1.01245,0.6527,0.92624,0.000768802,0.000768802,0.000768802
37,9951.99,1.02472,0.62259,0.93964,0.94532,0.33907,0.42115,0.29575,1.02043,0.63523,0.92401,0.000749939,0.000749939,0.000749939
38,10801.8,0.99589,0.60628,0.93462,0.63667,0.40654,0.42471,0.30556,0.97575,0.60713,0.91755,0.000731076,0.000731076,0.000731076
39,11037.8,1.00575,0.61159,0.93461,0.91521,0.34716,0.45694,0.31643,0.95949,0.59645,0.91196,0.000712214,0.000712214,0.000712214
40,11260.1,0.99202,0.59912,0.9323,0.59688,0.41799,0.44594,0.30885,0.98329,0.62704,0.92562,0.000693351,0.000693351,0.000693351
41,11483.9,0.98381,0.59311,0.92904,0.62497,0.39978,0.43091,0.30154,0.9646,0.59089,0.91354,0.000674488,0.000674488,0.000674488
42,11710.1,0.97415,0.58996,0.93064,0.62688,0.42844,0.44055,0.31793,0.96011,0.61621,0.91565,0.000655625,0.000655625,0.000655625
43,11934.8,0.97116,0.58721,0.92726,0.53233,0.41287,0.4526,0.31863,0.96035,0.58562,0.91725,0.000636762,0.000636762,0.000636762
44,12159.2,0.97033,0.5864,0.93201,0.51983,0.40799,0.45523,0.32027,0.95583,0.59522,0.90975,0.0006179,0.0006179,0.0006179
45,12385,0.9683,0.58328,0.92723,0.68213,0.48457,0.51559,0.36493,0.944,0.56777,0.90997,0.000599037,0.000599037,0.000599037
46,12607.7,0.95143,0.57241,0.92284,0.62262,0.48757,0.54606,0.38554,0.91604,0.55191,0.89858,0.000580174,0.000580174,0.000580174
47,12826.8,0.94626,0.56714,0.91913,0.80865,0.38902,0.49766,0.36713,0.92015,0.58887,0.90328,0.000561311,0.000561311,0.000561311
48,13044.9,0.94425,0.56787,0.92083,0.80456,0.43171,0.48137,0.34518,0.94941,0.61297,0.90791,0.000542448,0.000542448,0.000542448
49,13264,0.93324,0.5615,0.91725,0.8214,0.44307,0.5139,0.37016,0.97689,0.5979,0.9101,0.000523586,0.000523586,0.000523586
50,13482.2,0.94303,0.56311,0.91436,0.58785,0.62762,0.5907,0.42168,0.90375,0.5476,0.89553,0.000504723,0.000504723,0.000504723
51,13701.3,0.93022,0.55979,0.91576,0.78653,0.45409,0.52853,0.40653,0.91826,0.56457,0.90175,0.00048586,0.00048586,0.00048586
52,13938.8,0.92672,0.55597,0.91332,0.89732,0.44339,0.53757,0.38864,0.94631,0.56322,0.90401,0.000466997,0.000466997,0.000466997
53,14161.2,0.92772,0.55061,0.90996,0.96292,0.51776,0.60921,0.45826,0.8874,0.53314,0.89315,0.000448134,0.000448134,0.000448134
54,14382.2,0.90803,0.54487,0.90839,0.84648,0.52406,0.64223,0.44884,0.88846,0.53553,0.89185,0.000429272,0.000429272,0.000429272
55,14605,0.90285,0.54115,0.90691,0.92247,0.49397,0.63455,0.46026,0.88752,0.53478,0.89327,0.000410409,0.000410409,0.000410409
56,14825.7,0.90664,0.5419,0.91161,0.65483,0.62332,0.63728,0.46138,0.87801,0.52775,0.89001,0.000391546,0.000391546,0.000391546
57,15046.2,0.90005,0.54094,0.90987,0.72328,0.56963,0.63032,0.45879,0.87549,0.52643,0.89104,0.000372683,0.000372683,0.000372683
58,15265.8,0.88899,0.53379,0.90721,0.913,0.5735,0.66014,0.47412,0.89945,0.53287,0.8915,0.00035382,0.00035382,0.00035382
59,15487.9,0.8866,0.52812,0.90361,0.82799,0.61987,0.6739,0.50037,0.85496,0.5129,0.88279,0.000334958,0.000334958,0.000334958
60,15710.7,0.86674,0.52063,0.89901,0.91952,0.57572,0.67961,0.48761,0.8468,0.50911,0.88172,0.000316095,0.000316095,0.000316095
61,15931.4,0.88146,0.52666,0.90536,0.5889,0.6422,0.6525,0.49541,0.85453,0.52223,0.88338,0.000297232,0.000297232,0.000297232
62,16160.2,0.85587,0.51469,0.89535,0.91548,0.61573,0.70136,0.5089,0.84012,0.51422,0.87921,0.000278369,0.000278369,0.000278369
63,16377.9,0.85022,0.51186,0.89469,0.86598,0.63718,0.70482,0.49047,0.84441,0.5091,0.88145,0.000259506,0.000259506,0.000259506
64,16592.5,0.86,0.51844,0.89809,0.77904,0.66056,0.68934,0.49086,0.8452,0.50966,0.88063,0.000240644,0.000240644,0.000240644
65,16809.8,0.85869,0.51378,0.89638,0.87527,0.64145,0.7119,0.51919,0.83827,0.50138,0.88039,0.000221781,0.000221781,0.000221781
66,17022.9,0.8033,0.4859,0.88344,0.79952,0.62503,0.72784,0.50957,0.83619,0.50454,0.87893,0.000202918,0.000202918,0.000202918
67,17242.5,0.78739,0.47414,0.87478,0.75417,0.67575,0.74652,0.52763,0.84164,0.50327,0.88101,0.000184055,0.000184055,0.000184055
68,17454,0.7758,0.46545,0.87135,0.77354,0.73917,0.76247,0.54528,0.81518,0.49058,0.87374,0.000165192,0.000165192,0.000165192
69,17672.2,0.76745,0.46443,0.87621,0.93136,0.66381,0.77754,0.55014,0.8135,0.48481,0.87269,0.00014633,0.00014633,0.00014633
70,17888.5,0.76663,0.45763,0.87161,0.90068,0.64049,0.77324,0.53143,0.83095,0.49548,0.87767,0.000127467,0.000127467,0.000127467
71,18117.3,0.76074,0.45686,0.87444,0.91906,0.71715,0.79987,0.53301,0.8162,0.48605,0.87516,0.000108604,0.000108604,0.000108604
72,18335.3,0.76621,0.45839,0.87061,0.91808,0.73873,0.79437,0.55201,0.80846,0.48417,0.87166,8.97412e-05,8.97412e-05,8.97412e-05
73,18555.5,0.74653,0.44952,0.87041,0.93279,0.73919,0.79528,0.5526,0.80921,0.48146,0.8725,7.08784e-05,7.08784e-05,7.08784e-05
74,18777.6,0.73721,0.44726,0.86663,0.8755,0.7582,0.79495,0.55755,0.79263,0.47199,0.8694,5.20156e-05,5.20156e-05,5.20156e-05
75,19008.2,0.73801,0.44482,0.86375,0.89376,0.75805,0.79282,0.55487,0.79833,0.47822,0.86929,3.31528e-05,3.31528e-05,3.31528e-05
